grad,opstina,kvart,kvadratura,broj_soba,spratnost,stanje,grejanje,cena,lift,podrum,terasa
Beograd,Voždovac opština,Trošarina,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Stari Grad opština,Kalemegdan,37,1.5 soba,3/6 spratova,,,164000,Da,,
Beograd,Palilula opština,Karaburma,47,2.5 soba,Prizemlje/4 sprata,,,80000,,,
Beograd,Grocka opština,Kaluđerica,52,2.5 soba,3/4 sprata,,,65000,,,
Beograd,Zvezdara opština,Mirijevo,52,2 sobe,2/3 sprata,,,108000,,,
Beograd,Voždovac opština,Medaković,160,6 soba,4/4 sprata,,,130000,,,
Beograd,Palilula opština,Karaburma,66,2.5 soba,1/4 sprata,,Etažno grejanje,122000,,,Da
Beograd,Vračar,Cvetni Trg,94,3 sobe,3/6 spratova,,Grejanje na struju,326000,Da,,
Beograd,Palilula opština,Karaburma,67,3 sobe,3/5 spratova,,Centralno grejanje,133000,,,Da
Beograd,Čukarica opština,Čukarica,85,3 sobe,3/3 sprata,,Centralno grejanje,160000,,,Da
Beograd,Voždovac opština,Voždovac,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Voždovac opština,Dušanovac,61,2.5 soba,4/4 sprata,,Etažno grejanje,175000,,,
Beograd,Čukarica opština,Čukarica,45,2 sobe,6/7 spratova,,Centralno grejanje,130000,Da,,Da
Beograd,Voždovac opština,Braće Jerković,47,2 sobe,4/4 sprata,,Centralno grejanje,142000,,,Da
Beograd,Novi Beograd,Blok 65 - WEST 65,93,3 sobe,8/9 spratova,,Centralno grejanje,415000,,,
Beograd,Stari Grad opština,Skupština,30,1 soba,3/4 sprata,,,140000,Da,,
Beograd,Palilula opština,Karaburma,55,2.5 soba,1/4 sprata,,Grejanje na struju,110000,,,Da
Beograd,Zvezdara opština,Zvezdara,52,2.5 soba,1/2 sprata,,Etažno grejanje,59800,,,
Beograd,Palilula opština,Karaburma,56,1.5 soba,3/3 sprata,,Etažno grejanje,94000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Palilula opština,Karaburma,35,1 soba,Prizemlje/2 sprata,,,65000,,,
Beograd,Voždovac opština,Trošarina,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Stari Grad opština,Kalemegdan,37,1.5 soba,3/6 spratova,,,164000,Da,,
Beograd,Palilula opština,Karaburma,47,2.5 soba,Prizemlje/4 sprata,,,80000,,,
Beograd,Grocka opština,Kaluđerica,52,2.5 soba,3/4 sprata,,,65000,,,
Beograd,Zvezdara opština,Mirijevo,52,2 sobe,2/3 sprata,,,108000,,,
Beograd,Voždovac opština,Medaković,160,6 soba,4/4 sprata,,,130000,,,
Beograd,Palilula opština,Karaburma,66,2.5 soba,1/4 sprata,,Etažno grejanje,122000,,,Da
Beograd,Vračar,Cvetni Trg,94,3 sobe,3/6 spratova,,Grejanje na struju,326000,Da,,
Beograd,Palilula opština,Karaburma,67,3 sobe,3/5 spratova,,Centralno grejanje,133000,,,Da
Beograd,Čukarica opština,Čukarica,85,3 sobe,3/3 sprata,,Centralno grejanje,160000,,,Da
Beograd,Voždovac opština,Voždovac,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Voždovac opština,Dušanovac,61,2.5 soba,4/4 sprata,,Etažno grejanje,175000,,,
Beograd,Čukarica opština,Čukarica,45,2 sobe,6/7 spratova,,Centralno grejanje,130000,Da,,Da
Beograd,Voždovac opština,Braće Jerković,47,2 sobe,4/4 sprata,,Centralno grejanje,142000,,,Da
Beograd,Čukarica opština,Čukarica,39,1.5 soba,5/5 spratova,,Centralno grejanje,96000,,,Da
Beograd,Zvezdara opština,Lion,83,2 sobe,4/4 sprata,,Grejanje na struju,220000,,,
Beograd,Palilula opština,Karaburma,55,2.5 soba,1/4 sprata,,Grejanje na struju,110000,,,Da
Beograd,Zvezdara opština,Zvezdara,52,2.5 soba,1/2 sprata,,Etažno grejanje,59800,,,
Beograd,Palilula opština,Karaburma,56,1.5 soba,3/3 sprata,,Etažno grejanje,94000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Palilula opština,Karaburma,35,1 soba,Prizemlje/2 sprata,,,65000,,,
Beograd,Voždovac opština,Trošarina,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Stari Grad opština,Kalemegdan,37,1.5 soba,3/6 spratova,,,164000,Da,,
Beograd,Palilula opština,Karaburma,47,2.5 soba,Prizemlje/4 sprata,,,80000,,,
Beograd,Grocka opština,Kaluđerica,52,2.5 soba,3/4 sprata,,,65000,,,
Beograd,Zvezdara opština,Mirijevo,52,2 sobe,2/3 sprata,,,108000,,,
Beograd,Voždovac opština,Medaković,160,6 soba,4/4 sprata,,,130000,,,
Beograd,Palilula opština,Karaburma,66,2.5 soba,1/4 sprata,,Etažno grejanje,122000,,,Da
Beograd,Vračar,Cvetni Trg,94,3 sobe,3/6 spratova,,Grejanje na struju,326000,Da,,
Beograd,Palilula opština,Karaburma,67,3 sobe,3/5 spratova,,Centralno grejanje,133000,,,Da
Beograd,Čukarica opština,Čukarica,85,3 sobe,3/3 sprata,,Centralno grejanje,160000,,,Da
Beograd,Voždovac opština,Voždovac,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Voždovac opština,Dušanovac,61,2.5 soba,4/4 sprata,,Etažno grejanje,175000,,,
Beograd,Čukarica opština,Čukarica,45,2 sobe,6/7 spratova,,Centralno grejanje,130000,Da,,Da
Beograd,Voždovac opština,Braće Jerković,47,2 sobe,4/4 sprata,,Centralno grejanje,142000,,,Da
Beograd,Zemun opština,Batajnica,67,3 sobe,1. sprat,,Centralno grejanje,84000,,,Da
Beograd,Palilula opština,Karaburma,50,2 sobe,Nisko prizemlje/1 sprat,,Grejanje na struju,70000,,,Da
Beograd,Palilula opština,Karaburma,55,2.5 soba,1/4 sprata,,Grejanje na struju,110000,,,Da
Beograd,Zvezdara opština,Zvezdara,52,2.5 soba,1/2 sprata,,Etažno grejanje,59800,,,
Beograd,Palilula opština,Karaburma,56,1.5 soba,3/3 sprata,,Etažno grejanje,94000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Palilula opština,Karaburma,35,1 soba,Prizemlje/2 sprata,,,65000,,,
Beograd,Voždovac opština,Trošarina,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Stari Grad opština,Kalemegdan,37,1.5 soba,3/6 spratova,,,164000,Da,,
Beograd,Palilula opština,Karaburma,47,2.5 soba,Prizemlje/4 sprata,,,80000,,,
Beograd,Grocka opština,Kaluđerica,52,2.5 soba,3/4 sprata,,,65000,,,
Beograd,Zvezdara opština,Mirijevo,52,2 sobe,2/3 sprata,,,108000,,,
Beograd,Voždovac opština,Medaković,160,6 soba,4/4 sprata,,,130000,,,
Beograd,Palilula opština,Karaburma,66,2.5 soba,1/4 sprata,,Etažno grejanje,122000,,,Da
Beograd,Vračar,Cvetni Trg,94,3 sobe,3/6 spratova,,Grejanje na struju,326000,Da,,
Beograd,Palilula opština,Karaburma,67,3 sobe,3/5 spratova,,Centralno grejanje,133000,,,Da
Beograd,Čukarica opština,Čukarica,85,3 sobe,3/3 sprata,,Centralno grejanje,160000,,,Da
Beograd,Voždovac opština,Voždovac,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Voždovac opština,Dušanovac,61,2.5 soba,4/4 sprata,,Etažno grejanje,175000,,,
Beograd,Čukarica opština,Čukarica,45,2 sobe,6/7 spratova,,Centralno grejanje,130000,Da,,Da
Beograd,Voždovac opština,Braće Jerković,47,2 sobe,4/4 sprata,,Centralno grejanje,142000,,,Da
Beograd,Čukarica opština,Rušanj,37,1.5 soba,2. sprat,,,48500,,,
Beograd,Čukarica opština,Čukarica,112,4 sobe,3/5 spratova,,Grejanje na gas,315168,,,Da
Beograd,Palilula opština,Karaburma,55,2.5 soba,1/4 sprata,,Grejanje na struju,110000,,,Da
Beograd,Zvezdara opština,Zvezdara,52,2.5 soba,1/2 sprata,,Etažno grejanje,59800,,,
Beograd,Palilula opština,Karaburma,56,1.5 soba,3/3 sprata,,Etažno grejanje,94000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Palilula opština,Karaburma,35,1 soba,Prizemlje/2 sprata,,,65000,,,
Beograd,Voždovac opština,Trošarina,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Stari Grad opština,Kalemegdan,37,1.5 soba,3/6 spratova,,,164000,Da,,
Beograd,Palilula opština,Karaburma,47,2.5 soba,Prizemlje/4 sprata,,,80000,,,
Beograd,Grocka opština,Kaluđerica,52,2.5 soba,3/4 sprata,,,65000,,,
Beograd,Zvezdara opština,Mirijevo,52,2 sobe,2/3 sprata,,,108000,,,
Beograd,Voždovac opština,Medaković,160,6 soba,4/4 sprata,,,130000,,,
Beograd,Palilula opština,Karaburma,66,2.5 soba,1/4 sprata,,Etažno grejanje,122000,,,Da
Beograd,Vračar,Cvetni Trg,94,3 sobe,3/6 spratova,,Grejanje na struju,326000,Da,,
Beograd,Palilula opština,Karaburma,67,3 sobe,3/5 spratova,,Centralno grejanje,133000,,,Da
Beograd,Čukarica opština,Čukarica,85,3 sobe,3/3 sprata,,Centralno grejanje,160000,,,Da
Beograd,Voždovac opština,Voždovac,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Voždovac opština,Dušanovac,61,2.5 soba,4/4 sprata,,Etažno grejanje,175000,,,
Beograd,Čukarica opština,Čukarica,45,2 sobe,6/7 spratova,,Centralno grejanje,130000,Da,,Da
Beograd,Voždovac opština,Braće Jerković,47,2 sobe,4/4 sprata,,Centralno grejanje,142000,,,Da
Beograd,Zemun opština,Zemun,83,3.5 soba,1/7 spratova,,Centralno grejanje,305000,,,
Beograd,Novi Beograd,Tošin Bunar,84,4 sobe,4/22 sprata,,Centralno grejanje,280407,,,
Beograd,Palilula opština,Karaburma,55,2.5 soba,1/4 sprata,,Grejanje na struju,110000,,,Da
Beograd,Zvezdara opština,Zvezdara,52,2.5 soba,1/2 sprata,,Etažno grejanje,59800,,,
Beograd,Palilula opština,Karaburma,56,1.5 soba,3/3 sprata,,Etažno grejanje,94000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Palilula opština,Karaburma,35,1 soba,Prizemlje/2 sprata,,,65000,,,
Beograd,Voždovac opština,Trošarina,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Stari Grad opština,Kalemegdan,37,1.5 soba,3/6 spratova,,,164000,Da,,
Beograd,Palilula opština,Karaburma,47,2.5 soba,Prizemlje/4 sprata,,,80000,,,
Beograd,Grocka opština,Kaluđerica,52,2.5 soba,3/4 sprata,,,65000,,,
Beograd,Zvezdara opština,Mirijevo,52,2 sobe,2/3 sprata,,,108000,,,
Beograd,Voždovac opština,Medaković,160,6 soba,4/4 sprata,,,130000,,,
Beograd,Palilula opština,Karaburma,66,2.5 soba,1/4 sprata,,Etažno grejanje,122000,,,Da
Beograd,Vračar,Cvetni Trg,94,3 sobe,3/6 spratova,,Grejanje na struju,326000,Da,,
Beograd,Palilula opština,Karaburma,67,3 sobe,3/5 spratova,,Centralno grejanje,133000,,,Da
Beograd,Čukarica opština,Čukarica,85,3 sobe,3/3 sprata,,Centralno grejanje,160000,,,Da
Beograd,Voždovac opština,Voždovac,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Voždovac opština,Dušanovac,61,2.5 soba,4/4 sprata,,Etažno grejanje,175000,,,
Beograd,Čukarica opština,Čukarica,45,2 sobe,6/7 spratova,,Centralno grejanje,130000,Da,,Da
Beograd,Voždovac opština,Braće Jerković,47,2 sobe,4/4 sprata,,Centralno grejanje,142000,,,Da
Beograd,Vračar,Slavija,42,1 soba,7/7 spratova,Renovirano,Centralno grejanje,170000,Da,,Da
Beograd,Rakovica opština,Skojevsko Naselje,58,2.5 soba,1/6 spratova,,Centralno grejanje,137900,,,Da
Beograd,Palilula opština,Karaburma,55,2.5 soba,1/4 sprata,,Grejanje na struju,110000,,,Da
Beograd,Zvezdara opština,Zvezdara,52,2.5 soba,1/2 sprata,,Etažno grejanje,59800,,,
Beograd,Palilula opština,Karaburma,56,1.5 soba,3/3 sprata,,Etažno grejanje,94000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Palilula opština,Karaburma,35,1 soba,Prizemlje/2 sprata,,,65000,,,
Beograd,Voždovac opština,Trošarina,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Stari Grad opština,Kalemegdan,37,1.5 soba,3/6 spratova,,,164000,Da,,
Beograd,Palilula opština,Karaburma,47,2.5 soba,Prizemlje/4 sprata,,,80000,,,
Beograd,Grocka opština,Kaluđerica,52,2.5 soba,3/4 sprata,,,65000,,,
Beograd,Zvezdara opština,Mirijevo,52,2 sobe,2/3 sprata,,,108000,,,
Beograd,Voždovac opština,Medaković,160,6 soba,4/4 sprata,,,130000,,,
Beograd,Palilula opština,Karaburma,66,2.5 soba,1/4 sprata,,Etažno grejanje,122000,,,Da
Beograd,Vračar,Cvetni Trg,94,3 sobe,3/6 spratova,,Grejanje na struju,326000,Da,,
Beograd,Palilula opština,Karaburma,67,3 sobe,3/5 spratova,,Centralno grejanje,133000,,,Da
Beograd,Čukarica opština,Čukarica,85,3 sobe,3/3 sprata,,Centralno grejanje,160000,,,Da
Beograd,Voždovac opština,Voždovac,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Voždovac opština,Dušanovac,61,2.5 soba,4/4 sprata,,Etažno grejanje,175000,,,
Beograd,Čukarica opština,Čukarica,45,2 sobe,6/7 spratova,,Centralno grejanje,130000,Da,,Da
Beograd,Voždovac opština,Braće Jerković,47,2 sobe,4/4 sprata,,Centralno grejanje,142000,,,Da
Beograd,Zemun opština,Zemun,83,3.5 soba,1/7 spratova,,Centralno grejanje,305000,,,
Beograd,Palilula opština,Karaburma,55,2.5 soba,1/4 sprata,,Grejanje na struju,110000,,,Da
Beograd,Zvezdara opština,Zvezdara,52,2.5 soba,1/2 sprata,,Etažno grejanje,59800,,,
Beograd,Palilula opština,Karaburma,56,1.5 soba,3/3 sprata,,Etažno grejanje,94000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Palilula opština,Karaburma,35,1 soba,Prizemlje/2 sprata,,,65000,,,
Beograd,Voždovac opština,Trošarina,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Stari Grad opština,Kalemegdan,37,1.5 soba,3/6 spratova,,,164000,Da,,
Beograd,Palilula opština,Karaburma,47,2.5 soba,Prizemlje/4 sprata,,,80000,,,
Beograd,Grocka opština,Kaluđerica,52,2.5 soba,3/4 sprata,,,65000,,,
Beograd,Zvezdara opština,Mirijevo,52,2 sobe,2/3 sprata,,,108000,,,
Beograd,Voždovac opština,Medaković,160,6 soba,4/4 sprata,,,130000,,,
Beograd,Palilula opština,Karaburma,66,2.5 soba,1/4 sprata,,Etažno grejanje,122000,,,Da
Beograd,Vračar,Cvetni Trg,94,3 sobe,3/6 spratova,,Grejanje na struju,326000,Da,,
Beograd,Palilula opština,Karaburma,67,3 sobe,3/5 spratova,,Centralno grejanje,133000,,,Da
Beograd,Čukarica opština,Čukarica,85,3 sobe,3/3 sprata,,Centralno grejanje,160000,,,Da
Beograd,Voždovac opština,Voždovac,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Voždovac opština,Dušanovac,61,2.5 soba,4/4 sprata,,Etažno grejanje,175000,,,
Beograd,Čukarica opština,Čukarica,45,2 sobe,6/7 spratova,,Centralno grejanje,130000,Da,,Da
Beograd,Voždovac opština,Braće Jerković,47,2 sobe,4/4 sprata,,Centralno grejanje,142000,,,Da
Beograd,Čukarica opština,Čukarica,52,2 sobe,1/4 sprata,,,168800,Da,,
Beograd,Novi Beograd,Blok 1 - Fontana,74,2.5 soba,1/9 spratova,,Centralno grejanje,199000,,,
Beograd,Palilula opština,Karaburma,55,2.5 soba,1/4 sprata,,Grejanje na struju,110000,,,Da
Beograd,Zvezdara opština,Zvezdara,52,2.5 soba,1/2 sprata,,Etažno grejanje,59800,,,
Beograd,Palilula opština,Karaburma,56,1.5 soba,3/3 sprata,,Etažno grejanje,94000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Palilula opština,Karaburma,35,1 soba,Prizemlje/2 sprata,,,65000,,,
Beograd,Voždovac opština,Trošarina,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Stari Grad opština,Kalemegdan,37,1.5 soba,3/6 spratova,,,164000,Da,,
Beograd,Palilula opština,Karaburma,47,2.5 soba,Prizemlje/4 sprata,,,80000,,,
Beograd,Grocka opština,Kaluđerica,52,2.5 soba,3/4 sprata,,,65000,,,
Beograd,Zvezdara opština,Mirijevo,52,2 sobe,2/3 sprata,,,108000,,,
Beograd,Voždovac opština,Medaković,160,6 soba,4/4 sprata,,,130000,,,
Beograd,Palilula opština,Karaburma,66,2.5 soba,1/4 sprata,,Etažno grejanje,122000,,,Da
Beograd,Vračar,Cvetni Trg,94,3 sobe,3/6 spratova,,Grejanje na struju,326000,Da,,
Beograd,Palilula opština,Karaburma,67,3 sobe,3/5 spratova,,Centralno grejanje,133000,,,Da
Beograd,Čukarica opština,Čukarica,85,3 sobe,3/3 sprata,,Centralno grejanje,160000,,,Da
Beograd,Voždovac opština,Voždovac,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Voždovac opština,Dušanovac,61,2.5 soba,4/4 sprata,,Etažno grejanje,175000,,,
Beograd,Čukarica opština,Čukarica,45,2 sobe,6/7 spratova,,Centralno grejanje,130000,Da,,Da
Beograd,Voždovac opština,Braće Jerković,47,2 sobe,4/4 sprata,,Centralno grejanje,142000,,,Da
Beograd,Zemun opština,Batajnica,89,3.5 soba,Prizemlje/1 sprat,,Centralno grejanje,180000,,,
Beograd,Palilula opština,Karaburma,55,2.5 soba,1/4 sprata,,Grejanje na struju,110000,,,Da
Beograd,Zvezdara opština,Zvezdara,52,2.5 soba,1/2 sprata,,Etažno grejanje,59800,,,
Beograd,Palilula opština,Karaburma,56,1.5 soba,3/3 sprata,,Etažno grejanje,94000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Vračar,Kalenić,77,3.5 soba,2/4 sprata,,Etažno grejanje,225000,,,Da
Beograd,Palilula opština,Karaburma,35,1 soba,Prizemlje/2 sprata,,,65000,,,
Beograd,Voždovac opština,Trošarina,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Stari Grad opština,Kalemegdan,37,1.5 soba,3/6 spratova,,,164000,Da,,
Beograd,Palilula opština,Karaburma,47,2.5 soba,Prizemlje/4 sprata,,,80000,,,
Beograd,Grocka opština,Kaluđerica,52,2.5 soba,3/4 sprata,,,65000,,,
Beograd,Zvezdara opština,Mirijevo,52,2 sobe,2/3 sprata,,,108000,,,
Beograd,Voždovac opština,Medaković,160,6 soba,4/4 sprata,,,130000,,,
Beograd,Palilula opština,Karaburma,66,2.5 soba,1/4 sprata,,Etažno grejanje,122000,,,Da
Beograd,Vračar,Cvetni Trg,94,3 sobe,3/6 spratova,,Grejanje na struju,326000,Da,,
Beograd,Palilula opština,Karaburma,67,3 sobe,3/5 spratova,,Centralno grejanje,133000,,,Da
Beograd,Čukarica opština,Čukarica,85,3 sobe,3/3 sprata,,Centralno grejanje,160000,,,Da
Beograd,Voždovac opština,Voždovac,108,3 sobe,3/3 sprata,,Centralno grejanje,299000,,,Da
Beograd,Voždovac opština,Dušanovac,61,2.5 soba,4/4 sprata,,Etažno grejanje,175000,,,
Beograd,Čukarica opština,Čukarica,45,2 sobe,6/7 spratova,,Centralno grejanje,130000,Da,,Da
Beograd,Voždovac opština,Braće Jerković,47,2 sobe,4/4 sprata,,Centralno grejanje,142000,,,Da
Beograd,Voždovac opština,Autokomanda,60,2 sobe,2/5 spratova,,Centralno grejanje,225000,,,Da
